Borough,Latitude,Longitude
MANHATTAN,40.74255163,-73.97743084
BRONX,40.82594653,-73.91963346
MANHATTAN,40.72879276,-73.98060334
BRONX,40.88011083,-73.87649152
BRONX,40.85914794,-73.89720874
STATEN ISLAND,40.63777726,-74.07614049
MANHATTAN,40.80049388,-73.94657282
STATEN ISLAND,40.59637031,-74.07025268
MANHATTAN,,
BROOKLYN,40.64456659,-73.97978822
BROOKLYN,40.59651131,-73.90787552
BROOKLYN,40.69401517,-73.94894804
BRONX,40.83917471,-73.84553048
STATEN ISLAND,40.59376969,-74.0805804
QUEENS,40.64824356,-73.78824186
BRONX,40.87703354,-73.84636823
MANHATTAN,40.79901529,-73.94257212
MANHATTAN,40.73736568,-73.98842401
STATEN ISLAND,40.61642407,-74.07418549
BROOKLYN,40.71806954,-73.96108305
BROOKLYN,40.58387339,-73.93968976
QUEENS,40.74344364,-73.92120898
QUEENS,40.76117365,-73.83092214
BROOKLYN,40.73046397,-73.95148187
MANHATTAN,40.75664802,-73.97435798
MANHATTAN,40.76336598,-73.98281696
BRONX,40.86240384,-73.89798098
MANHATTAN,40.75226957,-73.98745414
BRONX,,
MANHATTAN,40.74421124,-73.98997824
QUEENS,40.76105666,-73.78986135
MANHATTAN,40.83545482,-73.94384886
BRONX,40.83162361,-73.86725846
MANHATTAN,40.72834688,-74.00534343
BRONX,40.83776015,-73.85975817
QUEENS,40.74610921,-73.91411063
MANHATTAN,40.77377578,-73.95767833
MANHATTAN,40.84576676,-73.93859211
QUEENS,40.75187591,-73.70281653
BROOKLYN,40.66988891,-73.90931343
QUEENS,40.68630481,-73.79390817
MANHATTAN,40.79000459,-73.97333396
MANHATTAN,40.74356365,-73.97368095
BROOKLYN,40.60421151,-74.00671998
BRONX,40.82430859,-73.90941733
MANHATTAN,40.74653562,-73.98595028
MANHATTAN,40.76049249,-73.98466588
MANHATTAN,40.7281893,-73.98302447
MANHATTAN,,
QUEENS,40.78145576,-73.84141438
